datetime,city,state,country,shape,duration (seconds),duration (hours/min),comments,date posted,latitude,longitude
1/25/2005 06:32,new carrollton,md,us,light,2,2 seconds,Observed burst of bluish light at cloud level at 0632 on 25 JAN 05.,1/27/2005,38.9697222,-76.8802778
1/25/2006 20:15,annapolis/severna park,md,NA,oval,10,5 to 10 seconds,Object appeared only a few miles from the Naval Academy in Annapolis&#44 MD,2/14/2006,39.028504,-76.503584
12/5/2011 20:20,bel air,md,us,oval,1200,20 mins,Flying oval objects,12/12/2011,39.5358333,-76.3486111
12/5/2012 01:12,beltsville,md,us,formation,360,6 minutes,Three flickering lights at first slow and then really fast until gone,12/20/2012,39.0347222,-76.9077778
1/26/2008 07:20,baltimore,md,us,cigar,300,5 minutes,Four stationary light objects at Sunrise in the Eastern sky,2/14/2008,39.2902778,-76.6125
1/27/2002 12:45,olney,md,us,diamond,10,10 sec,Observed a High Speed flight of a Fast moving object,1/29/2002,39.1530556,-77.0672222
1/27/2005 19:00,abingdon,md,us,light,300,5 minutes,object emitting a brilliant solid white light beam in a reverse triangle pattern,2/8/2005,39.4622222,-76.2794444
1/27/2008 04:30,ellicott city,md,us,other,20,00:20,Dumb bell shaped UFO over Ellicott City,8/12/2008,39.2672222,-76.7986111
12/7/2008 23:00,takoma park,md,us,formation,7,7 seconds,String formation of five reddish lights flew south over DC area on a clear&#44 cold December night (11PM); too fast to be aircraft.,1/10/2009,38.9777778,-77.0077778
1/27/2011 24:00,lanham,md,us,disk,120,minute,I was taking random pictures while on the bus going around Landover Mall and saw what appears to be a UFO in two of them in the 4:21 PM,1/31/2011,38.9669444,-76.8622222
1/28/2003 05:30,owings mills (area),md,us,formation,90,60-90 seconds,Three lights surrounded by smoke,3/21/2003,39.4194444,-76.7805556
12/8/2008 00:00,baltimore,md,us,light,3600,1 hour,((HOAX??))  white lights over baltimore..,1/10/2009,39.2902778,-76.6125
12/8/2010 21:28,gwynn oak,md,us,triangle,21,21 seconds,It was a sight to see&#44,1/5/2011,39.3325,-76.6930556
1/29/1999 18:40,germantown/frederick  (between),md,NA,disk,600,10 minutes,craft was stationary for app. 5 min.&#44 moved higher &amp; west&#44 pulsed several times then disappeared,2/16/1999,39.1897,-77.241383
12/9/2008 06:42,kensington/olney,md,NA,light,600,10 minutes so far,Four twirling lights seen.  ((NUFORC Note:  Advertising lights&#44 we suspect.  PD)),1/10/2009,38.942324,-77.17647
1/29/2010 13:25,jefferson,md,us,oval,120,1-2minutes,Oval shaped object sighted hovering over a field,6/3/2010,39.3619444,-77.5319444
1/29/2011 02:00,parkville,md,us,light,120,2 minutes,This wasnt just a star...it was something more,2/8/2011,39.3772222,-76.54
1/29/2013 23:50,hagerstown,md,us,light,3000,50 minutes,Unusal lights were observed in one location (not moving) then simply went out.,2/4/2013,39.6416667,-77.7202778
1/30/2007 09:25,rockville,md,us,cylinder,300,5 mins,Disk shape over 270N Rockville MD,2/1/2007,39.0838889,-77.1530556
1/31/2008 21:00,westminster,md,us,other,600,5-10 minutes,Strange Helicopters Over Development,2/14/2008,39.5752778,-76.9961111
1/31/2009 02:00,avilton (frostburg),md,us,formation,20,15-20 seconds,Long strand of equally spaced red lights that disappear to the center&#44 then come out again.,3/19/2009,39.6502778,-79.0425
1/31/2014 22:50,parkville,md,us,triangle,300,5 minutes,Parkville&#44 MD&#44 ufo sighting.,2/7/2014,39.3772222,-76.54
1/3/2004 23:00,laurel,md,us,flash,4,4 seconds,Green Meteor,3/2/2004,39.0991667,-76.8486111
1/4/2003 20:50,westminster,md,us,sphere,300,five minutes,strange bright lights fly over rural Maryland,3/21/2003,39.5752778,-76.9961111
1/4/2011 15:30,chesapeake bay,md,NA,other,20,hour,I WOULD LIKE TI BRING TO YOUR ATTENTION&#44 THE DEATH&#39S OF THOUSANDS OF FISH IN THE CHESAPEAK BAY THE FISH WERE ALL YOUNG FROM ONE TO THRE,1/31/2011,37.584154,-76.178374
1/5/2002 23:00,baltimore,md,us,light,600,10 minutes,2 light-shaped...things seen in Baltimore County one year ago&#44 I report on it now,9/17/2003,39.2902778,-76.6125
1/5/2012 00:00,kent island,md,NA,light,14400,4 hours,2 hovering lights seen near kent island....  ((NUFORC Note:  Jupiter and Venus currently are very prominent in the western sky.  PD)),3/16/2012,38.937339,-76.328994
1/7/2002 17:49,bel air,md,us,egg,5,3-5 seconds,Flourscent Green blue centered egg shaped object crossed our field of vision in a curved path and instantly disappered,1/11/2002,39.5358333,-76.3486111
1/7/2002 17:55,baltimore,md,us,sphere,5,5 seconds,Streaking white light that turned blue and accelerated at incredible speed,1/11/2002,39.2902778,-76.6125
1/7/2002 17:55,prince frederick,md,us,light,3,3 seconds,Bright green light seen in sky for few seconds moving to the South in the southern maryland / chesepeake bay region.,11/16/2002,38.5402778,-76.5847222
1/7/2002 18:00,fort washington,md,us,teardrop,2,seconds,Luminous green&#44 white outlined tear shaped object moving quickly accross the sky in a dwonward curve.,1/11/2002,38.7072222,-77.0233333
1/7/2012 06:30,hagerstown,md,us,triangle,1800,30 min.,Triangle shape white light in southern sky over Hagerstown&#44 Md.,1/12/2012,39.6416667,-77.7202778
1/7/2012 07:00,belair,md,NA,triangle,120,2min,TRIANGLE SHAPED CRAFT WITH WHITE LIGHTS SEEN HOVERING OVER HIGHWAY,2/3/2012,39.321528,-76.574831
1/7/2013 06:50,baltimore,md,us,circle,900,15 minutes,I was in the car; all of a sudden there was a bright orb that emitted another orb and it looped or twisted.,1/10/2014,39.2902778,-76.6125
1/8/2011 21:00,nottingham,md,us,formation,180,3 mins,3 bright objects in sky fly in formation over White Marsh MD,1/31/2011,39.3638889,-76.4525
